=== LOG LAPORAN GAGAL AKSES CRAWLING ===
Format: [KATEGORI] | Media | Alasan Detail | URL
[UNKNOWN_ERROR] | TribunBanten.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://banten.tribunnews.com/rss
[UNKNOWN_ERROR] | Baubau post | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://baubaupost.com/feed/
[UNKNOWN_ERROR] | Bataminfo.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bataminfo.co.id/feed/
[UNKNOWN_ERROR] | Batamclick.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://batamclick.com/feed/
[UNKNOWN_ERROR] | Barometerrakyat.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://barometerrakyat.com/feed/
[UNKNOWN_ERROR] | Tribunbengkulu.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bengkulu.tribunnews.com/rss
[UNKNOWN_ERROR] | Bali Express | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://baliexpress.jawapos.com/sitemap.xml
[UNKNOWN_ERROR] | BatamNow.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://batamnow.com/feed/
[UNKNOWN_ERROR] | bentan.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bentan.co.id/sitemap.xml
[UNKNOWN_ERROR] | Harian Umum Belitong Ekspres | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://belitongekspres.disway.id/rss/lifestyle
[UNKNOWN_ERROR] | Batam Pos | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://batampos.co.id/feed/
[UNKNOWN_ERROR] | Bekesah.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bekesah.co/sitemap.xml
[UNKNOWN_ERROR] | Berita.news | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://berita.news/feed/
[UNKNOWN_ERROR] | berauterkini.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://berauterkini.co.id/feed/
